Hap Index 	Expression Value 	Expression Level 	Prediction 
0 	 9.272152 	 0 	 Level 0 
1 	 0.894021 	 0 	 Level 0 
2 	 21.842358 	 2 	 Level 2 
3 	 12.623047 	 1 	 Level 0 
4 	 17.381927 	 1 	 Level 2 
5 	 15.907026 	 1 	 Level 1 
6 	 25.278792 	 2 	 Level 2 
7 	 2.347579 	 0 	 Level 0 
8 	 0.702696 	 0 	 Level 0 
9 	 21.931450 	 2 	 Level 1 
10 	 19.668240 	 1 	 Level 1 
11 	 9.315493 	 0 	 Level 0 
12 	 8.050610 	 0 	 Level 0 
13 	 27.276795 	 2 	 Level 2 
14 	 8.884794 	 0 	 Level 0 
15 	 15.892159 	 1 	 Level 2 
16 	 14.822272 	 1 	 Level 0 
17 	 26.539698 	 2 	 Level 2 
18 	 18.685884 	 1 	 Level 1 
19 	 24.205946 	 2 	 Level 1 
20 	 12.207008 	 1 	 Level 1 
21 	 5.383636 	 0 	 Level 1 
22 	 28.272951 	 2 	 Level 2 
23 	 8.134032 	 0 	 Level 0 
24 	 7.876407 	 0 	 Level 0 
25 	 15.689776 	 1 	 Level 1 
26 	 6.423513 	 0 	 Level 0 
27 	 21.454341 	 2 	 Level 2 
28 	 19.483270 	 1 	 Level 1 
29 	 18.027561 	 1 	 Level 1 
30 	 6.311772 	 0 	 Level 0 
31 	 9.115344 	 0 	 Level 0 
32 	 20.708342 	 2 	 Level 1 
33 	 5.796074 	 0 	 Level 0 
34 	 9.283711 	 0 	 Level 0 
35 	 24.596527 	 2 	 Level 1 
36 	 2.187371 	 0 	 Level 0 
37 	 6.611643 	 0 	 Level 0 
38 	 1.875010 	 0 	 Level 0 
39 	 10.425659 	 0 	 Level 1 
40 	 3.917150 	 0 	 Level 0 
41 	 13.277128 	 1 	 Level 1 
42 	 6.372831 	 0 	 Level 0 
43 	 21.669224 	 2 	 Level 1 
44 	 25.162667 	 2 	 Level 2 
45 	 24.138597 	 2 	 Level 2 
46 	 27.970069 	 2 	 Level 2 
47 	 7.994434 	 0 	 Level 0 
48 	 10.637867 	 1 	 Level 0 
49 	 10.363195 	 0 	 Level 1 
50 	 19.583066 	 1 	 Level 2 
51 	 12.958651 	 1 	 Level 1 
52 	 8.316812 	 0 	 Level 0 
53 	 16.264659 	 1 	 Level 1 
54 	 16.316414 	 1 	 Level 2 
55 	 19.881568 	 1 	 Level 1 
56 	 29.232960 	 2 	 Level 2 
57 	 14.234778 	 1 	 Level 0 
58 	 23.760577 	 2 	 Level 2 
59 	 14.193037 	 1 	 Level 0 
60 	 8.147017 	 0 	 Level 0 
61 	 23.121795 	 2 	 Level 2 
62 	 10.031137 	 0 	 Level 1 
63 	 26.058884 	 2 	 Level 2 
64 	 2.226969 	 0 	 Level 0 
65 	 8.639956 	 0 	 Level 0 
66 	 16.369794 	 1 	 Level 1 
67 	 20.235427 	 2 	 Level 2 
68 	 25.455504 	 2 	 Level 2 
69 	 8.725248 	 0 	 Level 0 
70 	 22.671154 	 2 	 Level 2 
71 	 16.812651 	 1 	 Level 2 
72 	 1.520858 	 0 	 Level 0 
73 	 7.779805 	 0 	 Level 0 
74 	 0.770440 	 0 	 Level 0 
75 	 23.002725 	 2 	 Level 2 
76 	 8.593551 	 0 	 Level 0 
77 	 23.303506 	 2 	 Level 2 
78 	 20.425342 	 2 	 Level 2 
79 	 3.938806 	 0 	 Level 0 
80 	 15.095396 	 1 	 Level 1 
81 	 23.552418 	 2 	 Level 2 
82 	 9.911615 	 0 	 Level 0 
83 	 22.837324 	 2 	 Level 2 
84 	 11.288138 	 1 	 Level 0 
85 	 16.994994 	 1 	 Level 1 
86 	 12.500236 	 1 	 Level 0 
87 	 11.621811 	 1 	 Level 1 
88 	 18.556807 	 1 	 Level 2 
89 	 15.045196 	 1 	 Level 0 
90 	 4.466715 	 0 	 Level 0 
91 	 15.516784 	 1 	 Level 2 
92 	 22.538936 	 2 	 Level 1 
