Hap Index 	Expression Value 	Expression Level 	Prediction 
0 	 9.272152 	 2 	 Level 1 
1 	 0.894021 	 0 	 Level 1 
2 	 21.842358 	 5 	 Level 5 
3 	 12.623047 	 2 	 Level 1 
4 	 17.381927 	 3 	 Level 4 
5 	 15.907026 	 3 	 Level 3 
6 	 25.278792 	 5 	 Level 1 
7 	 2.347579 	 0 	 Level 1 
8 	 0.702696 	 0 	 Level 1 
9 	 21.931450 	 5 	 Level 4 
10 	 19.668240 	 4 	 Level 3 
11 	 9.315493 	 2 	 Level 1 
12 	 8.050610 	 1 	 Level 1 
13 	 27.276795 	 6 	 Level 5 
14 	 8.884794 	 1 	 Level 0 
15 	 15.892159 	 3 	 Level 5 
16 	 14.822272 	 3 	 Level 1 
17 	 26.539698 	 6 	 Level 5 
18 	 18.685884 	 4 	 Level 3 
19 	 24.205946 	 5 	 Level 5 
20 	 12.207008 	 2 	 Level 3 
21 	 5.383636 	 1 	 Level 2 
22 	 28.272951 	 6 	 Level 5 
23 	 8.134032 	 1 	 Level 1 
24 	 7.876407 	 1 	 Level 1 
25 	 15.689776 	 3 	 Level 2 
26 	 6.423513 	 1 	 Level 1 
27 	 21.454341 	 4 	 Level 5 
28 	 19.483270 	 4 	 Level 3 
29 	 18.027561 	 4 	 Level 3 
30 	 6.311772 	 1 	 Level 0 
31 	 9.115344 	 2 	 Level 1 
32 	 20.708342 	 4 	 Level 3 
33 	 5.796074 	 1 	 Level 1 
34 	 9.283711 	 2 	 Level 1 
35 	 24.596527 	 5 	 Level 3 
36 	 2.187371 	 0 	 Level 0 
37 	 6.611643 	 1 	 Level 1 
38 	 1.875010 	 0 	 Level 1 
39 	 10.425659 	 2 	 Level 3 
40 	 3.917150 	 0 	 Level 0 
41 	 13.277128 	 3 	 Level 3 
42 	 6.372831 	 1 	 Level 1 
43 	 21.669224 	 5 	 Level 3 
44 	 25.162667 	 5 	 Level 6 
45 	 24.138597 	 5 	 Level 5 
46 	 27.970069 	 6 	 Level 4 
47 	 7.994434 	 1 	 Level 1 
48 	 10.637867 	 2 	 Level 1 
49 	 10.363195 	 2 	 Level 3 
50 	 19.583066 	 4 	 Level 5 
51 	 12.958651 	 2 	 Level 3 
52 	 8.316812 	 1 	 Level 1 
53 	 16.264659 	 3 	 Level 3 
54 	 16.316414 	 3 	 Level 5 
55 	 19.881568 	 4 	 Level 3 
56 	 29.232960 	 6 	 Level 5 
57 	 14.234778 	 3 	 Level 1 
58 	 23.760577 	 5 	 Level 5 
59 	 14.193037 	 3 	 Level 1 
60 	 8.147017 	 1 	 Level 1 
61 	 23.121795 	 5 	 Level 5 
62 	 10.031137 	 2 	 Level 2 
63 	 26.058884 	 6 	 Level 5 
64 	 2.226969 	 0 	 Level 1 
65 	 8.639956 	 1 	 Level 1 
66 	 16.369794 	 3 	 Level 3 
67 	 20.235427 	 4 	 Level 4 
68 	 25.455504 	 5 	 Level 5 
69 	 8.725248 	 1 	 Level 1 
70 	 22.671154 	 5 	 Level 1 
71 	 16.812651 	 3 	 Level 5 
72 	 1.520858 	 0 	 Level 1 
73 	 7.779805 	 1 	 Level 0 
74 	 0.770440 	 0 	 Level 1 
75 	 23.002725 	 5 	 Level 5 
76 	 8.593551 	 1 	 Level 0 
77 	 23.303506 	 5 	 Level 6 
78 	 20.425342 	 4 	 Level 5 
79 	 3.938806 	 0 	 Level 1 
80 	 15.095396 	 3 	 Level 3 
81 	 23.552418 	 5 	 Level 5 
82 	 9.911615 	 2 	 Level 1 
83 	 22.837324 	 5 	 Level 5 
84 	 11.288138 	 2 	 Level 1 
85 	 16.994994 	 3 	 Level 5 
86 	 12.500236 	 2 	 Level 1 
87 	 11.621811 	 2 	 Level 3 
88 	 18.556807 	 4 	 Level 5 
89 	 15.045196 	 3 	 Level 5 
90 	 4.466715 	 0 	 Level 1 
91 	 15.516784 	 3 	 Level 5 
92 	 22.538936 	 5 	 Level 5 
93 	 14.343870 	 3 	 Level 1 
94 	 17.597318 	 4 	 Level 5 
95 	 6.326249 	 1 	 Level 1 
96 	 15.557771 	 3 	 Level 3 
97 	 15.051367 	 3 	 Level 3 
98 	 6.606308 	 1 	 Level 1 
99 	 21.547486 	 4 	 Level 5 
100 	 23.143197 	 5 	 Level 5 
101 	 1.990638 	 0 	 Level 2 
102 	 27.407551 	 6 	 Level 5 
103 	 14.318275 	 3 	 Level 3 
104 	 1.631645 	 0 	 Level 0 
105 	 22.329464 	 5 	 Level 4 
106 	 16.147966 	 3 	 Level 3 
107 	 8.444995 	 1 	 Level 0 
108 	 4.533969 	 0 	 Level 0 
109 	 10.154657 	 2 	 Level 1 
110 	 22.668659 	 5 	 Level 5 
111 	 20.092583 	 4 	 Level 5 
112 	 18.009123 	 4 	 Level 3 
113 	 8.398199 	 1 	 Level 1 
114 	 29.956945 	 6 	 Level 5 
115 	 5.673119 	 1 	 Level 0 
116 	 17.208470 	 3 	 Level 4 
117 	 3.949260 	 0 	 Level 1 
118 	 14.429981 	 3 	 Level 3 
119 	 24.696176 	 5 	 Level 5 
120 	 18.705624 	 4 	 Level 5 
121 	 3.059072 	 0 	 Level 0 
122 	 22.666570 	 5 	 Level 6 
123 	 6.022199 	 1 	 Level 1 
124 	 26.583817 	 6 	 Level 5 
125 	 25.890361 	 6 	 Level 5 
126 	 18.441980 	 4 	 Level 5 
127 	 9.363489 	 2 	 Level 0 
128 	 29.110359 	 6 	 Level 5 
129 	 14.612829 	 3 	 Level 3 
130 	 9.075889 	 2 	 Level 0 
131 	 5.718533 	 1 	 Level 0 
132 	 6.643733 	 1 	 Level 1 
133 	 21.709012 	 5 	 Level 5 
134 	 28.572705 	 6 	 Level 5 
135 	 6.342715 	 1 	 Level 0 
136 	 21.665566 	 5 	 Level 5 
137 	 22.928295 	 5 	 Level 5 
138 	 22.978055 	 5 	 Level 5 
139 	 26.921839 	 6 	 Level 5 
140 	 14.374966 	 3 	 Level 1 
141 	 10.710067 	 2 	 Level 1 
142 	 6.787655 	 1 	 Level 0 
143 	 19.958263 	 4 	 Level 5 
144 	 11.541766 	 2 	 Level 1 
145 	 23.926670 	 5 	 Level 5 
146 	 16.765729 	 3 	 Level 3 
147 	 23.272167 	 5 	 Level 5 
148 	 5.801148 	 1 	 Level 1 
149 	 6.252254 	 1 	 Level 1 
